Question,Answer
What is the admission process?,Students can apply online through the university admission portal.
What documents are required for admission?,CNIC or B-Form academic certificates photographs and application form are required.
How can I check my admission status?,You can check your admission status through the admission portal.
What is the application fee?,The application fee depends on the program offered by the university.
Can I apply for multiple programs?,Yes students can apply for multiple programs according to university policy.
What are the eligibility criteria?,Eligibility criteria vary according to the selected program.
How can I check my result?,Students can check results through the university CMS portal.
How can I reset my student email password?,Contact the IT department for password reset assistance.
What is the attendance requirement?,Students are required to maintain at least 75 percent attendance.
How can I get my transcript?,You can request a transcript from the examination department.
How can I get my degree certificate?,Degree certificates are issued after completion of all degree requirements.
What is the grading policy?,The grading policy is available in the student handbook.
How can I register for courses?,Students can register courses through the CMS portal.
Can I drop a course?,Yes courses can be dropped within the allowed deadline.
Can I withdraw from a course?,Students may withdraw from a course according to university policy.
How can I view my timetable?,Timetables are available on the CMS portal.
What is the fee submission deadline?,Fee deadlines are announced every semester.
How can I pay my fee?,Fees can be paid through designated banks or online payment methods.
What happens if I miss the fee deadline?,Late fee charges may be applied.
Can I apply for a scholarship?,Yes eligible students can apply for scholarships.
How do I check scholarship status?,Scholarship status can be checked through the financial aid office.
Where is the library located?,The library is located on the main campus.
What are the library timings?,Library timings are announced by the university administration.
Can I borrow books from the library?,Yes students can borrow books using their student ID card.
How many books can I borrow?,The number of books depends on library policy.
How can I access digital resources?,Digital resources are available through the library portal.
What is CMS?,CMS is the student portal used for academic activities.
How can I update my profile on CMS?,Students can update profile information through CMS settings.
How do I contact my instructor?,You can contact instructors through email or LMS.
What is LMS?,LMS is the Learning Management System used for online learning.
How do I submit assignments online?,Assignments can be submitted through LMS.
Can I attend classes online?,Online class availability depends on the course.
What should I do if I forget my CMS password?,Use the forgot password option or contact IT support.
How can I apply for hostel accommodation?,Applications can be submitted through the hostel administration office.
What facilities are available in the hostel?,Hostels provide accommodation internet security and dining facilities.
How can I get a student ID card?,Student ID cards are issued after enrollment.
What should I do if I lose my ID card?,Report the loss and apply for a replacement card.
How can I request a bonafide certificate?,Bonafide certificates can be requested from the student affairs office.
How can I apply for an internship?,Internship opportunities are announced through the career services office.
Does the university provide career counseling?,Yes career counseling services are available for students.
How can I participate in university events?,Students can register through event announcements.
What clubs and societies are available?,The university offers various academic cultural and sports societies.
How can I join a student society?,You can apply through the society registration process.
Where can I find academic policies?,Academic policies are available in the student handbook.
How can I submit a complaint?,Complaints can be submitted through the student affairs office.
How can I contact university administration?,You can contact administration through official email or helpline.
What are the office timings?,Office timings are announced on the university website.
Where can I find university announcements?,Announcements are available on the university website and CMS.
How do I graduate?,Students graduate after completing all academic and administrative requirements.
